question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
What is the shipping time?,"Standard shipping: 3-7 business days. Expedited shipping: 1-2 business days. International shipping: 7-21 business days depending on destination."
Do you charge for shipping?,"We offer free standard shipping on orders over $50; otherwise a flat shipping fee applies depending on location."
Can I change my shipping address after placing an order?,"You can change the shipping address within 1 hour of placing the order by contacting our support team."
Do you offer cash on delivery?,"Yes, cash on delivery is available for select pin codes; additional COD charges may apply."
What is the return process?,"To return a product, initiate a return from your Orders page and ship the item back within 30 days; follow the instructions provided in the return email."
Do you offer exchanges?,"Yes, exchanges are available for size or color issues within 30 days if the item is in original condition."
Do you provide product warranty?,"Many products include manufacturer warranty; check the product page for warranty and service details."
How do I contact support?,"Email support@example.com or call 1800-123-456 between 9am-6pm IST for assistance."
Do you ship internationally?,"Yes, we offer international shipping to select countries; customs and import duties may apply and are the customer's responsibility."
How long to receive a refund?,"Refunds are processed within 5-7 business days after the returned item is received and inspected."
Are bulk order discounts available?,"Yes — contact sales@yourstore.com for bulk orders and custom pricing."
Is my payment information secure?,"We use SSL encryption and trusted payment gateways to securely process payments."
Do you provide invoices/GST details?,"Invoices are emailed after order confirmation; for GST invoices provide business details during checkout."
When will I receive order confirmation?,"You will receive an order confirmation email within minutes of placing your order."
